age,gender,education,income,employment_experience,home_ownership,loan_amount,loan_purpose,interest_rate,loan_to_income_ratio,credit_history_years,credit_score,previous_defaults,loan_status,loan_status_label
22.0,Female,Master,71948.0,0,Rent,35000.0,Personal,16.02,0.49,3,561,No,1,Default
21.0,Female,High School,12282.0,0,Own,1000.0,Education,11.14,0.08,2,504,Yes,0,Non-Default
25.0,Female,High School,12438.0,3,Mortgage,5500.0,Medical,12.87,0.44,3,635,No,1,Default
23.0,Female,Bachelor,79753.0,0,Rent,35000.0,Medical,15.23,0.44,2,675,No,1,Default
24.0,Male,Master,66135.0,1,Rent,35000.0,Medical,14.27,0.53,4,586,No,1,Default
21.0,Female,High School,12951.0,0,Own,2500.0,Venture,7.14,0.19,2,532,No,1,Default
26.0,Female,Bachelor,93471.0,1,Rent,35000.0,Education,12.42,0.37,3,701,No,1,Default
24.0,Female,High School,95550.0,5,Rent,35000.0,Medical,11.11,0.37,4,585,No,1,Default
24.0,Female,Associate,100684.0,3,Rent,35000.0,Personal,8.9,0.35,2,544,No,1,Default
21.0,Female,High School,12739.0,0,Own,1600.0,Venture,14.74,0.13,3,640,No,1,Default
22.0,Female,High School,102985.0,0,Rent,35000.0,Venture,10.37,0.34,4,621,No,1,Default
21.0,Female,Associate,13113.0,0,Own,4500.0,Home Improvement,8.63,0.34,2,651,No,1,Default
23.0,Male,Bachelor,114860.0,3,Rent,35000.0,Venture,7.9,0.3,2,573,No,1,Default
26.0,Male,Master,130713.0,0,Rent,35000.0,Education,18.39,0.27,4,708,No,1,Default
23.0,Female,Associate,138998.0,0,Rent,35000.0,Education,7.9,0.25,4,583,No,0,Non-Default
23.0,Female,Master,600891.0,5,Mortgage,30000.0,Debt Consolidation,10.65,0.05,3,670,Yes,0,Non-Default
23.0,Male,Bachelor,144943.0,0,Rent,35000.0,Education,7.9,0.24,4,663,No,0,Non-Default
23.0,Female,High School,111369.0,0,Rent,35000.0,Medical,20.0,0.31,4,694,No,1,Default
23.0,Male,Bachelor,136628.0,0,Rent,35000.0,Debt Consolidation,18.25,0.26,4,709,No,1,Default
24.0,Female,Master,14283.0,1,Mortgage,1750.0,Education,10.99,0.12,2,679,No,1,Default
25.0,Male,Bachelor,195718.0,0,Rent,35000.0,Venture,7.49,0.18,4,684,Yes,0,Non-Default
25.0,Male,High School,165792.0,4,Rent,34800.0,Personal,16.77,0.21,2,662,No,0,Non-Default
22.0,Female,Master,79255.0,0,Rent,34000.0,Education,17.58,0.43,4,691,No,1,Default
24.0,Female,Bachelor,13866.0,0,Own,1500.0,Personal,7.29,0.11,3,600,Yes,0,Non-Default
22.0,Male,Bachelor,97420.0,1,Rent,33950.0,Personal,14.54,0.35,4,691,No,1,Default
24.0,Female,High School,82443.0,0,Rent,33000.0,Home Improvement,12.68,0.4,3,654,No,1,Default
21.0,Female,Associate,14288.0,0,Mortgage,4575.0,Venture,17.74,0.32,3,626,No,1,Default
23.0,Male,High School,14293.0,0,Own,1400.0,Personal,9.32,0.1,3,607,No,0,Non-Default
24.0,Female,Bachelor,79054.0,1,Rent,32500.0,Home Improvement,9.99,0.41,3,700,No,1,Default
21.0,Female,Bachelor,14988.0,0,Other,4000.0,Education,12.84,0.27,2,553,No,1,Default
21.0,Male,High School,14858.0,0,Own,2000.0,Medical,11.12,0.13,3,589,No,1,Default
25.0,Male,Bachelor,144855.0,1,Rent,32000.0,Venture,6.62,0.22,2,586,Yes,0,Non-Default
26.0,Male,Bachelor,114645.0,2,Rent,31050.0,Home Improvement,14.17,0.27,3,681,No,1,Default
25.0,Female,High School,368115.0,3,Rent,24250.0,Debt Consolidation,13.85,0.07,3,567,Yes,0,Non-Default
26.0,Female,Associate,361076.0,1,Mortgage,7800.0,Medical,13.49,0.02,4,669,No,0,Non-Default
21.0,Male,Associate,15150.0,0,Own,2500.0,Education,7.51,0.17,4,600,No,1,Default
22.0,Female,Bachelor,58868.0,0,Rent,30000.0,Education,18.39,0.51,2,606,No,1,Default
24.0,Male,High School,78026.0,3,Rent,30000.0,Debt Consolidation,14.54,0.38,3,582,No,1,Default
25.0,Male,Bachelor,90785.0,4,Rent,30000.0,Home Improvement,16.89,0.33,4,649,No,1,Default
23.0,Female,High School,86811.0,0,Rent,30000.0,Debt Consolidation,11.01,0.35,4,602,No,1,Default
26.0,Male,Bachelor,75503.0,5,Rent,30000.0,Medical,17.99,0.4,2,616,No,1,Default
24.0,Female,High School,15082.0,0,Own,2500.0,Venture,12.69,0.17,3,631,No,1,Default
26.0,Male,Bachelor,361293.0,5,Mortgage,20000.0,Venture,7.88,0.06,4,684,Yes,0,Non-Default
23.0,Male,High School,361547.0,0,Own,24250.0,Education,19.41,0.07,2,637,Yes,0,Non-Default
26.0,Male,Master,360680.0,5,Own,10000.0,Home Improvement,10.38,0.03,4,649,No,0,Non-Default
26.0,Male,Bachelor,360977.0,5,Mortgage,25000.0,Education,15.33,0.07,3,695,Yes,0,Non-Default
25.0,Female,Bachelor,361244.0,2,Mortgage,18000.0,Home Improvement,16.45,0.05,3,620,No,0,Non-Default
26.0,Male,Bachelor,98230.0,2,Rent,30000.0,Personal,7.49,0.31,3,622,No,1,Default
22.0,Female,High School,80838.0,0,Rent,30000.0,Medical,12.69,0.37,3,645,No,1,Default
26.0,Male,Master,107957.0,2,Rent,30000.0,Debt Consolidation,6.62,0.28,3,654,No,1,Default
24.0,Female,Bachelor,94649.0,2,Rent,30000.0,Debt Consolidation,11.01,0.32,4,624,No,1,Default
23.0,Male,High School,94550.0,1,Rent,30000.0,Debt Consolidation,18.62,0.32,3,570,No,1,Default
23.0,Male,Bachelor,111153.0,3,Rent,30000.0,Personal,15.23,0.27,3,648,No,1,Default
23.0,Female,Associate,117250.0,0,Rent,30000.0,Venture,10.65,0.26,2,652,No,1,Default
25.0,Male,Bachelor,144985.0,3,Rent,30000.0,Education,7.9,0.21,4,559,No,0,Non-Default
26.0,Male,High School,337133.0,7,Rent,10000.0,Personal,15.96,0.03,3,623,Yes,0,Non-Default
26.0,Male,Associate,333566.0,2,Rent,20000.0,Venture,11.48,0.06,3,602,Yes,0,Non-Default
23.0,Male,Bachelor,333399.0,1,Own,35000.0,Personal,11.01,0.1,4,609,No,0,Non-Default
25.0,Male,Master,154793.0,1,Rent,30000.0,Personal,7.29,0.19,4,573,Yes,0,Non-Default
