age,gender,education,income,employment_experience,home_ownership,loan_amount,loan_purpose,interest_rate,loan_to_income_ratio,credit_history_years,credit_score,previous_defaults,loan_status
22.00,female,Master,71948.00,0,RENT,35000.00,PERSONAL,16.02,0.49,3,561,No,1
21.00,female,High School,12282.00,0,OWN,1000.00,EDUCATION,11.14,0.08,2,504,Yes,0
25.00,female,High School,12438.00,3,MORTGAGE,5500.00,MEDICAL,12.87,0.44,3,635,No,1
23.00,female,Bachelor,79753.00,0,RENT,35000.00,MEDICAL,15.23,0.44,2,675,No,1
24.00,male,Master,66135.00,1,RENT,35000.00,MEDICAL,14.27,0.53,4,586,No,1
21.00,female,High School,12951.00,0,OWN,2500.00,VENTURE,7.14,0.19,2,532,No,1
26.00,female,Bachelor,93471.00,1,RENT,35000.00,EDUCATION,12.42,0.37,3,701,No,1
24.00,female,High School,95550.00,5,RENT,35000.00,MEDICAL,11.11,0.37,4,585,No,1
24.00,female,Associate,100684.00,3,RENT,35000.00,PERSONAL,8.90,0.35,2,544,No,1
21.00,female,High School,12739.00,0,OWN,1600.00,VENTURE,14.74,0.13,3,640,No,1
22.00,female,High School,102985.00,0,RENT,35000.00,VENTURE,10.37,0.34,4,621,No,1
21.00,female,Associate,13113.00,0,OWN,4500.00,HOMEIMPROVEMENT,8.63,0.34,2,651,No,1
23.00,male,Bachelor,114860.00,3,RENT,35000.00,VENTURE,7.90,0.3,2,573,No,1
26.00,male,Master,130713.00,0,RENT,35000.00,EDUCATION,18.39,0.27,4,708,No,1
23.00,female,Associate,138998.00,0,RENT,35000.00,EDUCATION,7.90,0.25,4,583,No,0
23.00,female,Master,600891.00,5,MORTGAGE,30000.00,DEBTCONSOLIDATION,10.65,0.05,3,670,Yes,0
23.00,male,Bachelor,144943.00,0,RENT,35000.00,EDUCATION,7.90,0.24,4,663,No,0
23.00,female,High School,111369.00,0,RENT,35000.00,MEDICAL,20.00,0.31,4,694,No,1
23.00,male,Bachelor,136628.00,0,RENT,35000.00,DEBTCONSOLIDATION,18.25,0.26,4,709,No,1
24.00,female,Master,14283.00,1,MORTGAGE,1750.00,EDUCATION,10.99,0.12,2,679,No,1
25.00,male,Bachelor,195718.00,0,RENT,35000.00,VENTURE,7.49,0.18,4,684,Yes,0
25.00,male,High School,165792.00,4,RENT,34800.00,PERSONAL,16.77,0.21,2,662,No,0
22.00,female,Master,79255.00,0,RENT,34000.00,EDUCATION,17.58,0.43,4,691,No,1
24.00,female,Bachelor,13866.00,0,OWN,1500.00,PERSONAL,7.29,0.11,3,600,Yes,0
22.00,male,Bachelor,97420.00,1,RENT,33950.00,PERSONAL,14.54,0.35,4,691,No,1
24.00,female,High School,82443.00,0,RENT,33000.00,HOMEIMPROVEMENT,12.68,0.4,3,654,No,1
21.00,female,Associate,14288.00,0,MORTGAGE,4575.00,VENTURE,17.74,0.32,3,626,No,1
23.00,male,High School,14293.00,0,OWN,1400.00,PERSONAL,9.32,0.1,3,607,No,0
24.00,female,Bachelor,79054.00,1,RENT,32500.00,HOMEIMPROVEMENT,9.99,0.41,3,700,No,1
21.00,female,Bachelor,14988.00,0,OTHER,4000.00,EDUCATION,12.84,0.27,2,553,No,1
21.00,male,High School,14858.00,0,OWN,2000.00,MEDICAL,11.12,0.13,3,589,No,1
25.00,male,Bachelor,144855.00,1,RENT,32000.00,VENTURE,6.62,0.22,2,586,Yes,0
26.00,male,Bachelor,114645.00,2,RENT,31050.00,HOMEIMPROVEMENT,14.17,0.27,3,681,No,1
25.00,female,High School,368115.00,3,RENT,24250.00,DEBTCONSOLIDATION,13.85,0.07,3,567,Yes,0
26.00,female,Associate,361076.00,1,MORTGAGE,7800.00,MEDICAL,13.49,0.02,4,669,No,0
21.00,male,Associate,15150.00,0,OWN,2500.00,EDUCATION,7.51,0.17,4,600,No,1
22.00,female,Bachelor,58868.00,0,RENT,30000.00,EDUCATION,18.39,0.51,2,606,No,1
24.00,male,High School,78026.00,3,RENT,30000.00,DEBTCONSOLIDATION,14.54,0.38,3,582,No,1
25.00,male,Bachelor,90785.00,4,RENT,30000.00,HOMEIMPROVEMENT,16.89,0.33,4,649,No,1
23.00,female,High School,86811.00,0,RENT,30000.00,DEBTCONSOLIDATION,11.01,0.35,4,602,No,1
26.00,male,Bachelor,75503.00,5,RENT,30000.00,MEDICAL,17.99,0.4,2,616,No,1
24.00,female,High School,15082.00,0,OWN,2500.00,VENTURE,12.69,0.17,3,631,No,1
26.00,male,Bachelor,361293.00,5,MORTGAGE,20000.00,VENTURE,7.88,0.06,4,684,Yes,0
23.00,male,High School,361547.00,0,OWN,24250.00,EDUCATION,19.41,0.07,2,637,Yes,0
26.00,male,Master,360680.00,5,OWN,10000.00,HOMEIMPROVEMENT,10.38,0.03,4,649,No,0
26.00,male,Bachelor,360977.00,5,MORTGAGE,25000.00,EDUCATION,15.33,0.07,3,695,Yes,0
25.00,female,Bachelor,361244.00,2,MORTGAGE,18000.00,HOMEIMPROVEMENT,16.45,0.05,3,620,No,0
26.00,male,Bachelor,98230.00,2,RENT,30000.00,PERSONAL,7.49,0.31,3,622,No,1
22.00,female,High School,80838.00,0,RENT,30000.00,MEDICAL,12.69,0.37,3,645,No,1
26.00,male,Master,107957.00,2,RENT,30000.00,DEBTCONSOLIDATION,6.62,0.28,3,654,No,1
24.00,female,Bachelor,94649.00,2,RENT,30000.00,DEBTCONSOLIDATION,11.01,0.32,4,624,No,1
23.00,male,High School,94550.00,1,RENT,30000.00,DEBTCONSOLIDATION,18.62,0.32,3,570,No,1
23.00,male,Bachelor,111153.00,3,RENT,30000.00,PERSONAL,15.23,0.27,3,648,No,1
23.00,female,Associate,117250.00,0,RENT,30000.00,VENTURE,10.65,0.26,2,652,No,1
25.00,male,Bachelor,144985.00,3,RENT,30000.00,EDUCATION,7.90,0.21,4,559,No,0
26.00,male,High School,337133.00,7,RENT,10000.00,PERSONAL,15.96,0.03,3,623,Yes,0
26.00,male,Associate,333566.00,2,RENT,20000.00,VENTURE,11.48,0.06,3,602,Yes,0
23.00,male,Bachelor,333399.00,1,OWN,35000.00,PERSONAL,11.01,0.1,4,609,No,0
25.00,male,Master,154793.00,1,RENT,30000.00,PERSONAL,7.29,0.19,4,573,Yes,0
24.00,male,Associate,15229.00,1,OWN,1750.00,VENTURE,11.01,0.11,3,631,Yes,0
21.00,female,Bachelor,158338.00,0,RENT,30000.00,VENTURE,5.99,0.19,4,623,Yes,0
22.00,female,Bachelor,331034.00,0,OWN,12000.00,VENTURE,11.58,0.04,2,602,Yes,0
26.00,female,High School,316466.00,6,MORTGAGE,10000.00,EDUCATION,11.01,0.03,4,579,No,1
25.00,female,Associate,267671.00,0,MORTGAGE,25000.00,MEDICAL,15.70,0.09,2,582,No,1
22.00,male,Master,85191.00,0,RENT,29100.00,EDUCATION,15.99,0.34,3,700,No,1
22.00,male,Associate,15013.00,0,MORTGAGE,1500.00,EDUCATION,14.84,0.1,3,688,No,0
26.00,male,Bachelor,313100.00,3,OWN,28000.00,HOMEIMPROVEMENT,10.99,0.09,3,607,Yes,0
25.00,female,Bachelor,311952.00,0,MORTGAGE,20000.00,HOMEIMPROVEMENT,14.42,0.06,2,661,Yes,0
24.00,male,High School,306897.00,5,MORTGAGE,9600.00,EDUCATION,6.99,0.03,2,562,Yes,0
25.00,female,Bachelor,301136.00,0,RENT,25000.00,MEDICAL,13.49,0.08,4,664,Yes,0
25.00,male,High School,15162.00,1,OWN,3000.00,MEDICAL,11.01,0.2,3,564,No,1
22.00,male,Associate,69042.00,0,RENT,28000.00,MEDICAL,11.01,0.41,2,598,No,1
21.00,female,High School,15307.00,0,OWN,3000.00,EDUCATION,13.61,0.2,3,557,No,1
23.00,female,Associate,79183.00,0,RENT,28000.00,EDUCATION,7.90,0.35,2,677,No,1
26.00,male,Bachelor,102654.00,4,RENT,28000.00,VENTURE,7.49,0.27,3,690,No,1
26.00,male,Associate,15229.00,1,OWN,6100.00,EDUCATION,7.51,0.4,3,599,No,1
22.00,male,High School,106566.00,0,RENT,28000.00,VENTURE,9.91,0.26,3,604,No,1
21.00,female,Bachelor,15252.00,0,OWN,4200.00,PERSONAL,13.48,0.28,4,663,No,1
22.00,male,Bachelor,15432.00,3,OWN,4750.00,DEBTCONSOLIDATION,7.14,0.31,2,601,No,1
24.00,male,High School,100332.00,1,RENT,28000.00,VENTURE,15.99,0.28,4,634,No,1
24.00,male,Bachelor,300951.00,2,RENT,18000.00,EDUCATION,12.98,0.06,3,671,No,0
144.00,male,Bachelor,300616.00,125,RENT,4800.00,VENTURE,13.57,0.02,3,789,No,0
25.00,female,Bachelor,121062.00,1,RENT,28000.00,DEBTCONSOLIDATION,12.69,0.23,3,622,No,0
26.00,male,Associate,133372.00,1,RENT,28000.00,EDUCATION,8.90,0.21,2,538,Yes,0
26.00,male,Bachelor,15505.00,0,OWN,2700.00,DEBTCONSOLIDATION,11.01,0.17,4,587,No,1
22.00,male,Master,130852.00,0,RENT,28000.00,EDUCATION,11.01,0.21,4,683,No,1
23.00,male,Associate,182316.00,0,RENT,28000.00,DEBTCONSOLIDATION,11.11,0.15,2,634,Yes,0
24.00,female,Bachelor,83853.00,3,RENT,27600.00,HOMEIMPROVEMENT,11.01,0.33,2,690,No,1
21.00,female,Bachelor,15394.00,0,MORTGAGE,3250.00,DEBTCONSOLIDATION,15.68,0.21,3,518,No,1
22.00,female,Bachelor,85243.00,0,RENT,27500.00,EDUCATION,13.06,0.32,3,583,No,1
22.00,male,Associate,288907.00,2,OWN,25000.00,PERSONAL,11.01,0.09,2,617,Yes,0
26.00,male,Associate,89074.00,4,RENT,27050.00,VENTURE,15.62,0.3,2,668,No,1
24.00,male,Master,100509.00,2,RENT,27000.00,PERSONAL,13.49,0.27,2,673,No,1
24.00,male,High School,88950.00,3,RENT,27000.00,VENTURE,11.01,0.3,3,706,No,1
23.00,female,High School,75894.00,1,RENT,26000.00,MEDICAL,11.71,0.34,2,536,No,1
23.00,male,Associate,145092.00,0,RENT,25600.00,EDUCATION,12.69,0.18,3,557,Yes,0
24.00,female,Bachelor,15928.00,1,OWN,1600.00,MEDICAL,13.57,0.1,3,689,Yes,0
22.00,male,Bachelor,73131.00,3,RENT,25475.00,VENTURE,10.99,0.35,3,681,No,1
25.00,male,Master,281501.00,4,MORTGAGE,20000.00,MEDICAL,14.27,0.07,4,623,Yes,0
24.00,female,Associate,281775.00,0,OWN,20000.00,HOMEIMPROVEMENT,8.88,0.07,4,595,Yes,0
26.00,male,Bachelor,281792.00,1,MORTGAGE,21600.00,HOMEIMPROVEMENT,12.18,0.08,3,584,Yes,0
25.00,male,Bachelor,266090.00,4,MORTGAGE,11900.00,DEBTCONSOLIDATION,14.42,0.04,3,669,No,1
26.00,male,High School,279664.00,3,MORTGAGE,25000.00,MEDICAL,14.17,0.09,2,642,Yes,0
25.00,female,High School,277017.00,4,MORTGAGE,35000.00,MEDICAL,13.99,0.13,4,622,Yes,0
23.00,male,Associate,100756.00,0,RENT,25300.00,EDUCATION,10.99,0.25,3,689,No,1
22.00,male,High School,16218.00,1,MORTGAGE,2000.00,PERSONAL,5.42,0.12,4,614,No,1
25.00,female,Bachelor,16211.00,2,OWN,1750.00,PERSONAL,13.61,0.11,3,597,Yes,0
21.00,female,Bachelor,51922.00,3,RENT,25000.00,EDUCATION,12.73,0.48,3,673,No,1
24.00,male,Associate,50309.00,3,RENT,25000.00,HOMEIMPROVEMENT,11.01,0.5,3,625,No,1
25.00,male,High School,16378.00,0,OWN,3000.00,DEBTCONSOLIDATION,12.87,0.18,4,603,No,1
24.00,male,Bachelor,16572.00,0,MORTGAGE,3650.00,HOMEIMPROVEMENT,9.91,0.22,3,589,No,1
26.00,male,Master,272201.00,5,MORTGAGE,20000.00,HOMEIMPROVEMENT,11.49,0.07,4,670,Yes,0
25.00,female,Bachelor,271324.00,3,MORTGAGE,30000.00,HOMEIMPROVEMENT,19.91,0.11,2,637,Yes,0
